domain,group,contracts,families,family_ess,gross_taker_profit_per_contract,taker_ci_lower,taker_ci_upper,conditional_maker_profit_per_contract,maker_ci_lower,maker_ci_upper,support_gate_passed
volume_status,zero_volume,603,504,428.1213819593643,-0.05539146066133846,-0.0859885242385662,-0.025367875622491754,-0.0008179913969901371,-0.0312745238918632,0.02940557620138379,True
volume_status,positive_volume,1658,1041,881.305337753606,-0.011173133579718999,-0.03072483185441918,0.0071725921386402965,0.013873007313626914,-0.005362456180041553,0.03203693438456628,True
positive_volume_quartile,Q1,413,370,316.7923392398386,-0.005365645907755507,-0.04064011716170168,0.02642524571625656,0.03304050812547485,-0.0007612317152398909,0.06413380558278596,True
positive_volume_quartile,Q2,425,372,320.3253438584641,-0.025621002896085567,-0.062163714475231835,0.008910392360285584,0.004320097950118393,-0.032498465219771774,0.03877830427135272,True
positive_volume_quartile,Q3,387,331,285.68175185737016,0.00654098525510391,-0.026363192912435867,0.03568314671230611,0.026644742380455166,-0.0056326857884921875,0.05582878733565305,True
positive_volume_quartile,Q4,433,314,269.40260142196735,-0.018379647077854087,-0.057792952210649146,0.018171817236605943,-0.0050309146489445015,-0.044571003631380654,0.03165007924533325,True
spread_quartile,Q1,1045,699,579.8424321777532,6.862091639416426e-05,-0.022884808732836236,0.021433352238502207,0.01006862091639416,-0.01288480873283623,0.03143335223850219,True
spread_quartile,Q2,154,149,134.95716785006005,-0.027428466561083945,,,-0.007428466561084012,,,False
spread_quartile,Q3,519,431,364.1382497182695,-0.02428511065587226,-0.056357062601812676,0.006538455143928436,-0.00018820421555573304,-0.03216655100339756,0.030565787122102422,True
spread_quartile,Q4,543,428,349.36204558332713,-0.06193234059062747,-0.09693824689500939,-0.029025222667377656,0.027738773358758465,-0.0063215493045741715,0.06011299139062333,True
open_interest_quartile,Q1,495,410,346.02005815839186,-0.06027842911317561,-0.09802077115655662,-0.022389503486057727,0.007067206640071123,-0.030109579319533206,0.0444975253388705,True
open_interest_quartile,Q2,557,469,388.8487240467954,-0.007495262273617131,-0.0360779277560883,0.020182663841022422,0.03167360402534481,0.003198272845695008,0.059102694182762,True
open_interest_quartile,Q3,595,492,416.4858668876902,-0.01974218103535679,-0.04988731531495849,0.008420752645277635,0.0014245614139499355,-0.028797707537290437,0.029650504993471168,True
open_interest_quartile,Q4,614,409,352.1990398538645,-0.009680608109570788,-0.04114817928407884,0.019567573757541198,0.0038902797250662388,-0.027620868653764858,0.033137445722442975,True
trade_activity,no_actual_trade,603,504,428.1213819593643,-0.05539146066133846,-0.0859885242385662,-0.025367875622491754,-0.0008179913969901371,-0.0312745238918632,0.02940557620138379,True
trade_activity,actual_trade_present,1658,1041,881.305337753606,-0.011173133579718999,-0.03072483185441918,0.0071725921386402965,0.013873007313626914,-0.005362456180041553,0.03203693438456628,True
